"Occupation ID","Occupation","Quarter ID","Quarter","Workforce","Monthly Wage","Time","type","type ID"
2251,"Ingenieros Químicos",20123,"2012-Q3",20316,10569.376353612915,1343797200000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20124,"2012-Q4",17082,6104.720173281818,1351749600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20131,"2013-Q1",17919,5739.529772866789,1359698400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20132,"2013-Q2",17267,6066.0827011061565,1367384400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20133,"2013-Q3",19918,4203.478260869565,1375333200000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20134,"2013-Q4",18606,4398.4585617542725,1383285600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20141,"2014-Q1",20425,7102.51211750306,1391234400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20142,"2014-Q2",13933,8238.072920404795,1398920400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20143,"2014-Q3",20685,6278.627991298042,1406869200000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20144,"2014-Q4",17709,8291.885481958327,1414821600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20151,"2015-Q1",17371,5451.980312014277,1422770400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20152,"2015-Q2",21150,6463.484444444444,1430456400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20153,"2015-Q3",14414,36102.09171638684,1438405200000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20154,"2015-Q4",17501,8981.52105593966,1446357600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20161,"2016-Q1",17433,8196.675844662423,1454306400000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20162,"2016-Q2",17390,5853.216791259344,1462078800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20163,"2016-Q3",15280,7613.678010471204,1470027600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20164,"2016-Q4",13596,4158.929538099441,1477980000000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20171,"2017-Q1",17461,7629.428440524598,1485928800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20172,"2017-Q2",10535,2810.706217370669,1493614800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20173,"2017-Q3",15144,4654.580031695721,1501563600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20174,"2017-Q4",14136,2835.58856819468,1509516000000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20181,"2018-Q1",9878,5414.33691030573,1517464800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20182,"2018-Q2",16490,5119.011825348696,1525150800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20183,"2018-Q3",10683,5759.196854816063,1533099600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20184,"2018-Q4",10494,8434.319611206403,1541052000000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20191,"2019-Q1",9736,3262.9108463434677,1549000800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20192,"2019-Q2",13016,8487.211124769514,1556686800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20193,"2019-Q3",11991,4868.622300058377,1564635600000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20194,"2019-Q4",11086,6093.497203680317,1572588000000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20201,"2020-Q1",13729,8418.86881783087,1580536800000,"Ingenieros Químicos",2251
2251,"Ingenieros Químicos",20203,"2020-Q3",15278,3693.310642754287,1596258000000,"Ingenieros Químicos",2251
